"Candidate ID (As in the offer, 6 Digits starting with 2 or 3 )",Repo Link for the Miniproject (copy the HTTPS ),Is the Mini Project - your work evolution of your old/ new project,Category of Project [Applying the Guidelines and Process]
314256,https://github.com/YuvarajDakhane/Mini_Project-LTTS-.git,Application of process on new project,Application
311002,https://github.com/Anirudh11706436/Project1.git,Application of process on new project,Application
314306,https://github.com/minhaaz717/project.git,Application of process on new project,Fun/Passion Project
314130,https://github.com/RON7781/MyFirst.git,Application of process on new project,Fun/Passion Project
303042,https://github.com/Harshithakn99/Miniproject.git,Application of process on old project - Evolution,Application
302375,https://github.com/sumitbhimte/C-Mini-Project.git,Application of process on new project,Application
302298,https://github.com/sangeethanambiraj/nannak-divard.git,Application of process on new project,Application
314139,https://github.com/Prasansha989/P.git,Application of process on new project,Application
298100,https://github.com/itsjyotikumari/JYOTI-KUMARI.git,Application of process on new project,Application
298069,https://github.com/pranavraja10/LTTS_StepIN_MiniProject.git,Application of process on new project,Fun/Passion Project
311009,https://github.com/vineelbattula00/311009_miniproject.git,Application of process on new project,Application
268478,https://github.com/GRABHISHEK/Course_Scheduler.git,Application of process on new project,Fun/Passion Project
292890,https://github.com/success1266/Ltts_Miniproject.git,Application of process on new project,Game
313532,https://github.com/lingawar-20/github-slideshow.git,Application of process on new project,Application
303984,https://github.com/rishabangadi/Guns_project,Application of process on new project,Game
302964,https://github.com/NiraimathiR/Bank-Management-System.git,Application of process on new project,Application
265346,https://github.com/kunalmozarkar/kunalltts.git,Application of process on new project,Application
298084,https://github.com/sukanyadeka/Calendar.git,Application of process on new project,Game
304287,https://github.com/Gaurav-Jain-1999/LTTS_Mini_Project_304287.git,Application of process on new project,Application
307844,https://github.com/AdityaM22/Project-1.git,Application of process on old project - Evolution,Application
268614,https://github.com/shreeman05/stepin_project.git,Application of process on new project,Fun/Passion Project
313629,https://github.com/ShivaliGokhale/MiniProject_shivali.git,Application of process on new project,Application
298355,https://github.com/soundaryassb/mini-project.git,Application of process on new project,Application
268538,https://github.com/ramyadesai/cricket-score-board.git,Application of process on new project,Fun/Passion Project
302388,https://github.com/mkkr2000/STEPIN-Project.git,Application of process on new project,Application
315185,https://github.com/dharanija14/Mini-Project.git,Application of process on new project,Fun/Passion Project
314725,https://github.com/Pavan123953/mini-project-ltts.git,Application of process on new project,Fun/Passion Project
298624,https://github.com/ShreevidhyaBN/MINI__PROJECT-298624-.git,Application of process on new project,Game
311060,https://github.com/uday-3773/mini_project.git,Application of process on new project,Fun/Passion Project
313289,https://github.com/ANKITADAWARE16/training1.git,Application of process on new project,Application
314664,https://github.com/rahulcusat/Mini-Project.git,Application of process on new project,Fun/Passion Project
313632,https://github.com/JuhilMohadikar/module.git,Application of process on new project,Application
314370,https://github.com/saan-saurabh/Quizeee_314370.git,Application of process on new project,Game
303625,https://github.com/KCPooja/Mini_Project_.git,Application of process on new project,Game
314253,https://github.com/Vijay-David/MiniProject.git,Application of process on old project - Evolution,Application
